RepID,ManagerID,Segment,Region,TenureMonths,Certified,AvgDealSize,Opportunities,Wins,RawWinRate,TrueWinRate,ExposureMonths,OutboundMeetings,RawMeetingsPerMonth,TrueMeetingsPerMonth,MeanDiscountPct,DiscountSD,TrueMeanDiscountPct,Losses,LossCompetitor,LossNoDecision,LossBudget,LossTiming,TrueLossCompetitor,TrueLossNoDecision,TrueLossBudget,TrueLossTiming
R-1134,M-213,SMB,North America,25.5,No,7800,130,62,0.4769,0.5,24.0,98,4.0833,4.8452,17.2548,10.9403,14.9058,68,7,24,18,19,0.1031,0.4271,0.2267,0.2431
R-1135,M-213,SMB,North America,17.7,No,8800,104,41,0.3942,0.4429,17.7,128,7.2316,6.7208,11.6528,9.052,11.5503,63,13,15,14,21,0.2104,0.2811,0.1682,0.3403
R-1136,M-213,SMB,North America,3.8,No,6800,8,2,0.25,0.339,3.8,41,10.7895,8.9411,12.3996,10.2585,10.9673,6,0,3,3,0,0.246,0.2049,0.3401,0.209
R-1137,M-213,SMB,North America,41.7,Yes,7500,78,54,0.6923,0.5418,24.0,167,6.9583,6.8404,13.3448,10.1973,12.4606,24,4,9,9,2,0.1176,0.3741,0.375,0.1333
R-1138,M-213,SMB,North America,38.7,No,6600,116,58,0.5,0.4492,24.0,106,4.4167,4.3701,14.3756,10.5963,15.2449,58,24,14,13,7,0.3507,0.291,0.216,0.1422
R-1139,M-213,SMB,North America,17.7,No,5500,127,40,0.315,0.334,17.7,78,4.4068,4.5849,19.1142,11.3092,18.8323,87,37,27,16,7,0.4119,0.3287,0.1796,0.0798
R-1140,M-213,SMB,North America,12.5,No,9600,82,33,0.4024,0.3584,12.5,101,8.08,7.6055,14.8196,9.9217,15.4185,49,5,21,14,9,0.1655,0.3676,0.2621,0.2048
R-1141,M-213,SMB,North America,11.5,Yes,7500,77,49,0.6364,0.6508,11.5,112,9.7391,9.7702,11.606,9.1397,10.9325,28,6,3,17,2,0.1704,0.2962,0.4466,0.0869
R-1142,M-213,SMB,North America,18.8,No,12300,173,70,0.4046,0.372,18.8,101,5.3723,6.3091,10.4787,9.2626,9.5894,103,14,26,39,24,0.1658,0.2388,0.3694,0.226
R-1143,M-213,SMB,North America,74.7,Yes,11100,129,101,0.7829,0.7292,24.0,106,4.4167,4.3951,12.4235,9.0031,12.4011,28,4,3,4,17,0.1458,0.2316,0.1856,0.437
R-1144,M-214,SMB,North America,13.3,No,8600,125,25,0.2,0.2232,13.3,65,4.8872,5.0555,12.2366,9.2902,10.4423,100,24,32,30,14,0.2446,0.2805,0.3063,0.1686
R-1145,M-214,SMB,North America,23.7,Yes,9400,183,69,0.377,0.3305,23.7,231,9.7468,9.942,10.3438,8.9099,10.3416,114,32,49,30,3,0.3228,0.4257,0.239,0.0126
R-1146,M-214,SMB,North America,15.6,No,6900,121,25,0.2066,0.2279,15.6,98,6.2821,4.8115,16.5557,10.5441,15.421,96,34,24,0,38,0.387,0.2154,0.0745,0.3231
R-1147,M-214,SMB,North America,28.6,No,8700,194,42,0.2165,0.2162,24.0,70,2.9167,3.3384,17.8491,10.3404,17.8259,152,34,61,14,43,0.1969,0.4333,0.105,0.2648
R-1148,M-214,SMB,North America,15.3,Yes,7900,104,70,0.6731,0.6766,15.3,123,8.0392,6.8486,13.4556,9.7191,14.9372,34,7,15,10,2,0.2376,0.4156,0.2443,0.1025
R-1149,M-214,SMB,North America,41.3,Yes,10400,199,91,0.4573,0.4829,24.0,200,8.3333,7.2954,17.9999,9.7668,16.2762,108,52,12,16,28,0.5453,0.0789,0.1964,0.1794
R-1150,M-214,SMB,North America,78.9,Yes,9700,266,127,0.4774,0.4781,24.0,93,3.875,3.6933,13.7919,9.8461,12.7117,139,17,70,37,15,0.1105,0.5084,0.2927,0.0885
R-1151,M-214,SMB,North America,21.5,No,10400,198,125,0.6313,0.5769,21.5,86,4.0,3.4651,14.1135,9.6901,14.1425,73,3,57,7,6,0.0213,0.8067,0.0993,0.0726
R-1152,M-214,SMB,North America,17.2,Yes,9800,112,35,0.3125,0.3096,17.2,124,7.2093,7.7737,14.7005,10.6429,14.2775,77,13,30,10,24,0.2099,0.3207,0.1234,0.346
R-1153,M-214,SMB,North America,43.4,Yes,7100,268,120,0.4478,0.4609,24.0,216,9.0,9.5502,16.4852,10.0502,15.5818,148,48,29,69,2,0.3548,0.2123,0.426,0.0068
R-1154,M-214,SMB,North America,11.8,No,8600,79,23,0.2911,0.3302,11.8,34,2.8814,3.549,10.6661,8.3107,10.7719,56,11,14,31,0,0.2296,0.2638,0.4818,0.0248
R-1155,M-214,SMB,North America,38.5,No,10100,183,91,0.4973,0.5131,24.0,76,3.1667,2.8124,15.247,9.1145,14.934,92,11,57,20,4,0.1896,0.5306,0.2462,0.0336
R-1156,M-214,SMB,North America,3.0,No,8700,10,3,0.3,0.312,3.0,13,4.3333,5.8363,13.8706,8.9194,12.8369,7,2,3,0,2,0.175,0.3715,0.3247,0.1288
R-1157,M-215,Enterprise,North America,36.1,No,163300,37,5,0.1351,0.1494,24.0,56,2.3333,2.3116,16.8216,7.895,16.5895,32,15,9,4,4,0.4792,0.2189,0.2248,0.077
R-1158,M-215,Enterprise,North America,84.7,Yes,165000,28,4,0.1429,0.2363,24.0,74,3.0833,3.4562,14.3372,8.8535,14.3419,24,15,3,5,1,0.4642,0.3118,0.207,0.017
R-1159,M-215,Enterprise,North America,22.7,Yes,162700,36,3,0.0833,0.0679,22.7,48,2.1145,1.814,8.3553,9.3995,7.6811,33,15,11,2,5,0.431,0.3543,0.1101,0.1045
R-1160,M-215,Enterprise,North America,12.5,Yes,242100,21,2,0.0952,0.0877,12.5,18,1.44,1.4982,8.7599,9.5015,10.3044,19,6,7,2,4,0.1985,0.5472,0.0677,0.1866
R-1161,M-215,Enterprise,North America,22.6,No,115900,35,2,0.0571,0.1294,22.6,40,1.7699,1.9973,11.0319,9.3749,11.4039,33,20,8,0,5,0.5718,0.2322,0.0685,0.1275
R-1162,M-215,Enterprise,North America,50.1,Yes,194500,34,4,0.1176,0.1476,24.0,46,1.9167,1.7232,12.7915,10.3579,9.3742,30,10,7,5,8,0.2649,0.363,0.1014,0.2706
R-1163,M-215,Enterprise,North America,19.7,No,239700,42,5,0.119,0.1646,19.7,76,3.8579,3.0602,12.6647,10.3655,13.8262,37,14,18,1,4,0.3999,0.445,0.0324,0.1227
R-1164,M-215,Enterprise,North America,5.5,No,203200,6,1,0.1667,0.1302,5.5,16,2.9091,2.0378,12.4978,12.4134,6.6959,5,3,0,2,0,0.5612,0.2049,0.1207,0.1132
R-1165,M-215,Enterprise,North America,13.7,No,178100,22,0,0.0,0.0459,13.7,46,3.3577,2.7706,11.5656,7.4675,13.6859,22,10,11,0,1,0.3221,0.5071,0.0765,0.0944
R-1166,M-215,Enterprise,North America,8.4,No,197700,11,0,0.0,0.0852,8.4,17,2.0238,1.9393,12.8728,10.142,13.033,11,3,4,3,1,0.4045,0.4651,0.1137,0.0167
R-1167,M-216,Mid-Market,EMEA,2.6,Yes,45800,5,3,0.6,0.2075,2.6,10,3.8462,2.8802,7.956,8.8022,12.8431,2,0,2,0,0,0.2134,0.4639,0.1122,0.2104
R-1168,M-216,Mid-Market,EMEA,85.8,Yes,39000,60,11,0.1833,0.2516,24.0,79,3.2917,3.9203,16.2547,9.9213,14.8689,49,16,17,12,4,0.3631,0.4002,0.1645,0.0722
R-1169,M-216,Mid-Market,EMEA,13.1,No,42600,56,16,0.2857,0.2148,13.1,24,1.8321,1.5918,13.2074,10.4373,14.6721,40,14,16,7,3,0.3571,0.3522,0.1987,0.092
R-1170,M-216,Mid-Market,EMEA,38.0,Yes,49400,53,7,0.1321,0.1329,24.0,63,2.625,2.403,10.283,8.8162,10.3996,46,11,6,11,18,0.2993,0.1393,0.2753,0.2861
R-1171,M-216,Mid-Market,EMEA,43.3,Yes,48200,92,28,0.3043,0.2311,24.0,63,2.625,2.4529,12.4324,10.5831,11.8456,64,13,33,2,16,0.1935,0.5115,0.0665,0.2285
R-1172,M-216,Mid-Market,EMEA,12.4,Yes,60600,26,4,0.1538,0.1067,12.4,71,5.7258,4.4024,15.8982,8.5956,11.4094,22,5,4,12,1,0.2297,0.2469,0.5068,0.0166
R-1173,M-216,Mid-Market,EMEA,8.7,Yes,39800,38,6,0.1579,0.1676,8.7,24,2.7586,2.4763,10.6991,8.7435,10.1895,32,13,2,17,0,0.3577,0.1184,0.4689,0.055
R-1174,M-216,Mid-Market,EMEA,10.3,No,46300,37,3,0.0811,0.0843,10.3,19,1.8447,2.3275,12.9264,10.1959,11.846,34,21,5,6,2,0.4785,0.2822,0.2086,0.0306
R-1175,M-216,Mid-Market,EMEA,45.2,Yes,23500,89,34,0.382,0.3845,24.0,97,4.0417,4.6068,15.7094,9.3104,14.3543,55,13,18,9,15,0.1112,0.3483,0.2017,0.3388
R-1176,M-216,Mid-Market,EMEA,35.6,Yes,42100,97,12,0.1237,0.1298,24.0,124,5.1667,5.9538,12.6685,10.5447,13.3448,85,33,45,0,7,0.3396,0.5321,0.0267,0.1017
R-1177,M-216,Mid-Market,EMEA,26.1,No,36600,61,12,0.1967,0.211,24.0,90,3.75,3.5214,11.043,9.6936,9.5853,49,18,8,21,2,0.3621,0.1191,0.4326,0.0862
R-1178,M-216,Mid-Market,EMEA,21.4,No,46700,91,13,0.1429,0.1113,21.4,90,4.2056,4.3602,11.2179,9.3278,10.2904,78,32,28,17,1,0.4112,0.3396,0.2407,0.0085
R-1179,M-216,Mid-Market,EMEA,14.7,No,35000,59,3,0.0508,0.053,14.7,48,3.2653,3.4969,13.418,8.0547,11.6496,56,12,27,10,7,0.1524,0.5115,0.1944,0.1417
R-1180,M-216,Mid-Market,EMEA,98.9,Yes,35100,69,23,0.3333,0.2845,24.0,91,3.7917,3.4558,16.1361,10.7452,14.3046,46,16,5,13,12,0.3509,0.1278,0.3211,0.2002
R-1181,M-216,Mid-Market,EMEA,27.3,No,41000,97,28,0.2887,0.2192,24.0,84,3.5,3.4311,15.1637,9.5692,14.7674,69,26,21,7,15,0.3634,0.3097,0.0685,0.2584
R-1182,M-216,Mid-Market,EMEA,7.5,No,29500,21,3,0.1429,0.1854,7.5,9,1.2,2.0147,10.4313,9.4744,11.6828,18,6,4,7,1,0.4355,0.2109,0.3014,0.0522
R-1183,M-216,Mid-Market,EMEA,21.8,Yes,42700,95,32,0.3368,0.2023,21.8,94,4.3119,4.202,14.5682,9.1835,13.6838,63,23,16,19,5,0.3582,0.345,0.2324,0.0644
R-1184,M-217,Enterprise,North America,16.1,Yes,223400,18,6,0.3333,0.2673,16.1,46,2.8571,2.706,15.2262,6.7302,12.3702,12,7,2,0,3,0.3848,0.2616,0.0895,0.2641
R-1185,M-217,Enterprise,North America,39.8,Yes,228300,31,15,0.4839,0.3848,24.0,51,2.125,2.1752,13.5442,11.7823,12.9547,16,5,5,3,3,0.3194,0.4095,0.0793,0.1919
R-1186,M-217,Enterprise,North America,48.8,No,184100,29,11,0.3793,0.2152,24.0,77,3.2083,3.1481,14.2177,10.8808,11.1878,18,4,6,5,3,0.4222,0.1711,0.2255,0.1812
R-1187,M-217,Enterprise,North America,7.9,Yes,210200,3,0,0.0,0.0911,7.9,25,3.1646,2.7937,11.4235,1.8669,11.0696,3,2,0,0,1,0.4679,0.2786,0.1886,0.0649
R-1188,M-217,Enterprise,North America,91.1,Yes,238200,26,7,0.2692,0.1714,24.0,40,1.6667,1.7619,13.2465,8.9219,12.2442,19,8,8,2,1,0.4296,0.3821,0.1148,0.0735
R-1189,M-217,Enterprise,North America,25.4,No,180600,36,5,0.1389,0.1904,24.0,39,1.625,1.6907,17.5222,11.1503,15.2481,31,15,14,0,2,0.5156,0.3261,0.0165,0.1417
R-1190,M-217,Enterprise,North America,8.5,No,196200,12,4,0.3333,0.1635,8.5,28,3.2941,3.3357,20.5415,6.574,16.3188,8,7,0,0,1,0.7291,0.1198,0.0366,0.1145
R-1191,M-217,Enterprise,North America,39.4,No,234100,39,1,0.0256,0.0676,24.0,40,1.6667,1.5213,14.4897,9.7486,14.0148,38,20,14,1,3,0.4908,0.2273,0.1137,0.1682
R-1192,M-217,Enterprise,North America,57.6,Yes,233700,19,5,0.2632,0.2071,24.0,53,2.2083,2.1817,9.7079,9.3042,10.6842,14,6,6,2,0,0.4184,0.4283,0.0883,0.065
R-1193,M-217,Enterprise,North America,61.7,Yes,156800,20,9,0.45,0.3693,24.0,58,2.4167,2.2159,10.1589,7.4057,11.8416,11,2,2,5,2,0.3224,0.2279,0.3157,0.1339
R-1194,M-217,Enterprise,North America,10.8,No,194700,12,0,0.0,0.041,10.8,37,3.4259,3.6642,5.0304,5.7308,9.4396,12,5,2,3,2,0.3571,0.3847,0.0908,0.1674
R-1195,M-217,Enterprise,North America,27.7,No,179200,37,7,0.1892,0.2864,24.0,60,2.5,2.1006,9.7141,7.9202,10.4208,30,8,15,1,6,0.3632,0.4436,0.0411,0.152
R-1196,M-217,Enterprise,North America,37.7,Yes,199200,29,2,0.069,0.1019,24.0,32,1.3333,1.4859,12.6639,11.3903,12.1707,27,19,3,2,3,0.6966,0.065,0.0482,0.1902
R-1197,M-217,Enterprise,North America,24.7,No,179500,10,2,0.2,0.1923,24.0,63,2.625,2.4209,9.3724,14.0958,10.7987,8,4,1,3,0,0.4572,0.1647,0.1747,0.2035
R-1198,M-217,Enterprise,North America,7.4,No,157900,10,2,0.2,0.1846,7.4,37,5.0,3.7329,5.2063,6.0976,8.8644,8,2,2,0,4,0.3529,0.2621,0.1786,0.2064
R-1199,M-217,Enterprise,North America,29.6,Yes,154900,35,11,0.3143,0.2055,24.0,63,2.625,2.4581,15.7355,8.2207,14.4647,24,14,3,2,5,0.504,0.2901,0.0659,0.14
R-1200,M-218,Mid-Market,APAC,24.7,No,51700,87,17,0.1954,0.1791,24.0,132,5.5,5.6618,12.1893,10.5321,13.1185,70,21,22,8,19,0.3066,0.2812,0.1509,0.2613
R-1201,M-218,Mid-Market,APAC,12.4,Yes,40800,52,4,0.0769,0.1637,12.4,30,2.4194,2.5437,17.3689,10.0698,17.1215,48,15,11,16,6,0.2705,0.182,0.3064,0.2411
R-1202,M-218,Mid-Market,APAC,61.8,Yes,37600,82,24,0.2927,0.3148,24.0,64,2.6667,3.0376,11.0606,8.8283,9.9784,58,21,11,8,18,0.4507,0.1633,0.0768,0.3092
R-1203,M-218,Mid-Market,APAC,9.9,No,35700,36,5,0.1389,0.1647,9.9,42,4.2424,3.7388,14.1436,9.6966,12.4834,31,5,6,8,12,0.2503,0.2334,0.2502,0.2661
R-1204,M-218,Mid-Market,APAC,13.5,Yes,42900,52,12,0.2308,0.2357,13.5,54,4.0,3.5221,13.4346,9.8449,11.916,40,11,22,4,3,0.3484,0.4656,0.0553,0.1308
R-1205,M-218,Mid-Market,APAC,47.5,Yes,44500,111,52,0.4685,0.4453,24.0,127,5.2917,5.7523,12.15,9.3516,11.9849,59,13,29,12,5,0.2711,0.4028,0.2435,0.0826
R-1206,M-218,Mid-Market,APAC,7.2,Yes,38100,21,5,0.2381,0.2377,7.2,21,2.9167,2.938,7.1952,6.6328,6.8323,16,6,5,1,4,0.3234,0.4073,0.14,0.1294
R-1207,M-218,Mid-Market,APAC,8.0,No,47800,22,7,0.3182,0.1677,8.0,22,2.75,3.0006,15.6504,9.6937,14.9344,15,4,10,0,1,0.2857,0.5582,0.098,0.0581
R-1208,M-218,Mid-Market,APAC,52.7,No,46900,66,21,0.3182,0.3174,24.0,78,3.25,2.713,16.9309,9.8379,16.1433,45,19,5,8,13,0.3508,0.146,0.2342,0.269
R-1209,M-218,Mid-Market,APAC,26.4,No,31700,83,16,0.1928,0.2898,24.0,91,3.7917,4.5001,9.1828,8.8362,7.7378,67,16,31,8,12,0.2692,0.4234,0.0889,0.2185
R-1210,M-218,Mid-Market,APAC,14.2,Yes,38800,48,10,0.2083,0.1803,14.2,66,4.6479,4.5429,9.7775,9.1253,9.9789,38,13,15,10,0,0.2861,0.3912,0.2805,0.0423
R-1211,M-218,Mid-Market,APAC,34.1,Yes,30400,91,26,0.2857,0.2385,24.0,70,2.9167,2.6142,9.6799,8.6579,8.8575,65,11,37,3,14,0.2327,0.5644,0.0484,0.1544
R-1212,M-218,Mid-Market,APAC,47.8,No,33300,72,15,0.2083,0.2937,24.0,117,4.875,4.6041,14.9291,10.2423,16.5499,57,23,19,8,7,0.4161,0.3274,0.1106,0.1459
R-1213,M-218,Mid-Market,APAC,13.5,No,35600,42,10,0.2381,0.1345,13.5,70,5.1852,5.7729,14.7354,11.0686,13.2477,32,18,3,10,1,0.5108,0.1189,0.3153,0.055
R-1214,M-218,Mid-Market,APAC,21.3,No,51100,30,12,0.4,0.4595,21.3,62,2.9108,3.3059,12.5878,10.3868,11.4285,18,2,7,5,4,0.2056,0.2354,0.1477,0.4113
R-1215,M-219,SMB,EMEA,27.7,Yes,7500,192,76,0.3958,0.3609,24.0,53,2.2083,2.5379,15.3424,9.6923,14.7538,116,18,40,45,13,0.2219,0.3534,0.3023,0.1224
R-1216,M-219,SMB,EMEA,25.8,Yes,5800,155,39,0.2516,0.2924,24.0,141,5.875,6.156,11.23,9.5405,10.3996,116,18,53,28,17,0.1492,0.4324,0.2558,0.1625
R-1217,M-219,SMB,EMEA,13.1,Yes,12700,83,33,0.3976,0.3858,13.1,53,4.0458,4.474,15.9332,8.498,16.3672,50,10,8,13,19,0.2143,0.1717,0.2875,0.3265
R-1218,M-219,SMB,EMEA,37.2,Yes,10800,153,72,0.4706,0.4116,24.0,87,3.625,3.7301,12.8734,11.2055,10.8389,81,40,5,21,15,0.3629,0.157,0.3175,0.1627
R-1219,M-219,SMB,EMEA,27.3,Yes,6700,221,58,0.2624,0.2393,24.0,196,8.1667,9.063,12.3575,10.1197,11.7608,163,32,44,33,54,0.1551,0.2799,0.213,0.352
R-1220,M-219,SMB,EMEA,11.6,No,8500,86,22,0.2558,0.256,11.6,76,6.5517,6.2913,8.7489,8.6402,8.0884,64,24,13,14,13,0.3103,0.2785,0.2163,0.1949
R-1221,M-219,SMB,EMEA,2.5,No,6700,8,3,0.375,0.217,2.5,22,8.8,7.9416,16.8898,10.2586,11.0654,5,1,0,2,2,0.1793,0.1357,0.3817,0.3033
R-1222,M-219,SMB,EMEA,10.3,Yes,9900,67,32,0.4776,0.4437,10.3,48,4.6602,3.7229,13.5311,9.2103,13.9784,35,8,18,7,2,0.1744,0.4643,0.1587,0.2025
R-1223,M-219,SMB,EMEA,11.6,Yes,7800,56,13,0.2321,0.278,11.6,68,5.8621,5.3288,14.4063,9.1198,13.4772,43,3,7,20,13,0.1659,0.1348,0.4093,0.29
R-1224,M-219,SMB,EMEA,19.3,No,10700,87,18,0.2069,0.2311,19.3,166,8.601,8.3896,14.9509,9.667,15.9125,69,5,23,32,9,0.1216,0.433,0.3584,0.087
R-1225,M-219,SMB,EMEA,66.4,Yes,8100,194,108,0.5567,0.4931,24.0,124,5.1667,5.401,17.7367,11.3488,16.8231,86,10,28,20,28,0.1486,0.307,0.2935,0.2509
R-1226,M-219,SMB,EMEA,3.4,No,10100,11,6,0.5455,0.2546,3.4,25,7.3529,7.5646,7.7633,10.2242,10.7186,5,0,2,2,1,0.1791,0.3009,0.2035,0.3165
R-1227,M-219,SMB,EMEA,24.7,No,11100,80,21,0.2625,0.2846,24.0,148,6.1667,5.9751,11.0912,9.8092,9.4526,59,26,19,14,0,0.4062,0.3682,0.2199,0.0057
R-1228,M-219,SMB,EMEA,8.0,No,6900,72,12,0.1667,0.2318,8.0,66,8.25,7.3563,14.3224,10.52,12.3874,60,27,17,14,2,0.5146,0.2223,0.1845,0.0786
R-1229,M-219,SMB,EMEA,2.7,Yes,8400,8,2,0.25,0.3318,2.7,25,9.2593,8.8466,15.5487,13.773,11.4047,6,1,1,3,1,0.3161,0.1731,0.3594,0.1514
R-1230,M-219,SMB,EMEA,5.0,No,10200,25,6,0.24,0.2703,5.0,27,5.4,6.6328,12.5691,8.7251,10.56,19,7,8,2,2,0.3415,0.3221,0.1731,0.1633
R-1231,M-219,SMB,EMEA,8.7,No,7900,79,6,0.0759,0.151,8.7,63,7.2414,7.157,8.2876,7.4582,6.0684,73,7,29,14,23,0.076,0.4652,0.164,0.2949
R-1232,M-219,SMB,EMEA,59.9,No,11100,127,44,0.3465,0.4252,24.0,162,6.75,6.8487,18.2768,10.2997,17.8924,83,7,24,34,18,0.066,0.3694,0.3822,0.1824
R-1233,M-220,SMB,EMEA,7.1,No,10600,49,16,0.3265,0.4513,7.1,31,4.3662,5.2579,11.5395,9.2049,14.1129,33,8,12,3,10,0.2083,0.3378,0.209,0.2449
R-1234,M-220,SMB,EMEA,63.6,Yes,6700,141,105,0.7447,0.7451,24.0,162,6.75,7.1126,12.2101,8.8668,10.0764,36,7,9,10,10,0.2498,0.2587,0.3354,0.1561
R-1235,M-220,SMB,EMEA,8.9,No,5100,73,31,0.4247,0.3257,8.9,61,6.8539,5.7396,13.502,8.9309,13.0814,42,10,20,6,6,0.1624,0.5036,0.1593,0.1747
R-1236,M-220,SMB,EMEA,33.1,Yes,8900,178,112,0.6292,0.5528,24.0,104,4.3333,4.6297,10.5944,8.7109,8.0191,66,12,23,25,6,0.1121,0.3139,0.5115,0.0624
R-1237,M-220,SMB,EMEA,10.7,Yes,6600,67,23,0.3433,0.3988,10.7,47,4.3925,5.1586,16.8373,10.6684,15.6972,44,11,13,14,6,0.2697,0.2895,0.3229,0.1179
R-1238,M-220,SMB,EMEA,10.3,No,9900,66,23,0.3485,0.4118,10.3,95,9.2233,8.8121,9.249,8.8409,7.4075,43,16,15,11,1,0.4085,0.3162,0.1998,0.0755
R-1239,M-220,SMB,EMEA,11.6,No,8900,83,27,0.3253,0.28,11.6,91,7.8448,8.3937,13.4357,10.8634,12.928,56,10,15,25,6,0.1594,0.2406,0.3647,0.2353
R-1240,M-220,SMB,EMEA,9.3,Yes,13300,60,31,0.5167,0.5641,9.3,37,3.9785,5.0581,16.9806,10.861,11.7614,29,4,4,14,7,0.1547,0.0762,0.4487,0.3204
R-1241,M-220,SMB,EMEA,22.5,Yes,8900,112,63,0.5625,0.5343,22.5,113,5.0222,4.669,12.6463,9.7972,12.0144,49,4,22,17,6,0.1411,0.4679,0.2673,0.1238
R-1242,M-220,SMB,EMEA,8.7,Yes,8500,64,26,0.4062,0.4477,8.7,30,3.4483,4.3058,17.9414,10.3282,18.7035,38,14,4,10,10,0.3163,0.2012,0.2179,0.2646
R-1243,M-220,SMB,EMEA,10.0,No,9900,99,22,0.2222,0.2379,10.0,38,3.8,4.5267,12.471,9.4044,11.9473,77,9,31,20,17,0.1513,0.3701,0.203,0.2755
R-1244,M-220,SMB,EMEA,11.4,No,6500,58,24,0.4138,0.4308,11.4,51,4.4737,4.4622,9.8464,9.5511,8.1409,34,12,16,6,0,0.3519,0.4146,0.2073,0.0262
R-1245,M-220,SMB,EMEA,32.9,No,9900,214,59,0.2757,0.295,24.0,183,7.625,7.6293,10.2119,9.0837,9.9427,155,34,49,66,6,0.2782,0.2823,0.3943,0.0452
R-1246,M-220,SMB,EMEA,2.2,No,10900,8,3,0.375,0.3124,2.2,12,5.4545,5.7084,14.483,12.4973,10.8145,5,3,1,1,0,0.3611,0.312,0.2729,0.0541
R-1247,M-220,SMB,EMEA,58.9,Yes,8300,139,59,0.4245,0.4608,24.0,206,8.5833,8.6473,13.1769,9.5526,11.0759,80,18,11,40,11,0.2533,0.1256,0.5276,0.0936
R-1248,M-220,SMB,EMEA,43.8,Yes,9400,223,58,0.2601,0.32,24.0,145,6.0417,6.3598,13.6828,9.5835,12.2615,165,20,53,77,15,0.098,0.3116,0.4434,0.1469
R-1249,M-220,SMB,EMEA,62.1,Yes,6700,121,69,0.5702,0.564,24.0,127,5.2917,5.4931,12.0077,9.3838,13.1329,52,7,23,16,6,0.2033,0.322,0.2828,0.1919
R-1250,M-221,Enterprise,North America,22.6,No,173900,31,4,0.129,0.0896,22.6,61,2.6991,2.6109,19.4618,9.9865,16.8842,27,9,11,2,5,0.2715,0.3794,0.1453,0.2037
R-1251,M-221,Enterprise,North America,11.2,Yes,171500,24,1,0.0417,0.0185,11.2,15,1.3393,1.6667,13.0503,8.6866,13.3106,23,6,9,3,5,0.2875,0.4545,0.0624,0.1955
R-1252,M-221,Enterprise,North America,27.9,Yes,206400,33,2,0.0606,0.0411,24.0,53,2.2083,2.4339,13.8381,10.2951,11.6352,31,14,13,1,3,0.4212,0.4103,0.0533,0.1152
R-1253,M-221,Enterprise,North America,16.7,Yes,144600,24,5,0.2083,0.0771,16.7,36,2.1557,1.5579,15.9118,9.8558,12.4367,19,7,5,6,1,0.4054,0.2787,0.2334,0.0825
R-1254,M-221,Enterprise,North America,20.3,No,220800,25,7,0.28,0.155,20.3,28,1.3793,1.6924,5.5563,7.5816,2.7954,18,9,6,0,3,0.4641,0.3127,0.0318,0.1915
R-1255,M-221,Enterprise,North America,25.0,No,183300,39,0,0.0,0.0427,24.0,82,3.4167,2.4515,15.3936,8.0584,12.883,39,13,16,3,7,0.4399,0.3519,0.0631,0.1451
R-1256,M-221,Enterprise,North America,35.0,Yes,151600,51,1,0.0196,0.0898,24.0,51,2.125,2.1251,14.785,10.6228,14.0992,50,17,24,3,6,0.2172,0.5316,0.0514,0.1998
R-1257,M-221,Enterprise,North America,16.1,No,153800,21,1,0.0476,0.0455,16.1,30,1.8634,2.4513,17.1788,11.3413,13.568,20,12,8,0,0,0.4784,0.4626,0.013,0.046
R-1258,M-221,Enterprise,North America,13.5,No,218800,18,2,0.1111,0.0545,13.5,22,1.6296,1.5911,16.1845,8.8186,15.7924,16,6,5,2,3,0.2999,0.3166,0.2241,0.1594
R-1259,M-221,Enterprise,North America,26.9,No,151500,43,2,0.0465,0.0642,24.0,44,1.8333,2.0154,13.8241,10.9086,14.323,41,17,11,4,9,0.4159,0.3334,0.0319,0.2188
R-1260,M-221,Enterprise,North America,30.3,Yes,158100,23,2,0.087,0.0705,24.0,90,3.75,3.0816,14.3309,8.301,14.3303,21,15,6,0,0,0.6086,0.3356,0.0063,0.0495
R-1261,M-221,Enterprise,North America,17.2,Yes,135800,20,0,0.0,0.029,17.2,52,3.0233,3.0204,13.7184,10.1378,12.3897,20,7,7,1,5,0.5187,0.2928,0.0656,0.1229
R-1262,M-221,Enterprise,North America,2.3,No,209600,3,1,0.3333,0.0635,2.3,7,3.0435,1.9844,15.3905,2.7445,13.9729,2,1,1,0,0,0.6407,0.1214,0.0402,0.1977
R-1263,M-221,Enterprise,North America,24.3,No,176300,45,6,0.1333,0.0965,24.0,107,4.4583,3.986,8.7961,9.6077,8.1583,39,18,9,6,6,0.531,0.2776,0.0916,0.0998
R-1264,M-221,Enterprise,North America,11.5,No,200000,17,2,0.1176,0.0673,11.5,7,0.6087,0.9617,11.3924,10.9168,10.0721,15,5,7,0,3,0.4518,0.3485,0.0515,0.1482
R-1265,M-222,SMB,APAC,53.7,Yes,8900,220,81,0.3682,0.3635,24.0,117,4.875,4.9624,10.4902,9.1503,9.8983,139,19,31,75,14,0.2278,0.2088,0.4508,0.1126
R-1266,M-222,SMB,APAC,14.3,No,9300,150,22,0.1467,0.1742,14.3,110,7.6923,7.4097,13.2484,9.1615,13.3029,128,22,45,36,25,0.1664,0.4128,0.2469,0.1739
R-1267,M-222,SMB,APAC,27.0,No,8700,188,43,0.2287,0.1663,24.0,169,7.0417,7.2273,16.253,10.0897,14.5195,145,40,57,21,27,0.251,0.4237,0.1268,0.1985
R-1268,M-222,SMB,APAC,11.2,Yes,10200,81,38,0.4691,0.3488,11.2,45,4.0179,4.8048,11.588,9.5374,12.0717,43,11,9,11,12,0.206,0.2014,0.3254,0.2672
