"variant_id","brand","category","period","buyers_first_year","repeat_buyers_next_year","true_repeat_rate","true_niche"
"V212","Brand E","coffee_capsules","2023-2024",31,6,0.3559,0
"V212","Brand E","coffee_capsules","2024-2025",36,17,0.3559,0
"V213","Brand E","coffee_capsules","2023-2024",25,9,0.3034,0
"V213","Brand E","coffee_capsules","2024-2025",22,7,0.3034,0
"V214","Brand F","coffee_capsules","2023-2024",342,141,0.4309,0
"V214","Brand F","coffee_capsules","2024-2025",317,143,0.4309,0
"V215","Brand C","herbal_tea","2023-2024",19,5,0.2628,0
"V215","Brand C","herbal_tea","2024-2025",28,10,0.2628,0
"V216","Brand B","whole_beans","2023-2024",25,9,0.2977,0
"V216","Brand B","whole_beans","2024-2025",43,7,0.2977,0
"V217","Brand E","coffee_capsules","2023-2024",23,7,0.3629,0
"V217","Brand E","coffee_capsules","2024-2025",21,7,0.3629,0
"V218","Brand E","coffee_capsules","2023-2024",803,299,0.376,0
"V218","Brand E","coffee_capsules","2024-2025",883,345,0.376,0
"V219","Brand H","coffee_capsules","2023-2024",9,4,0.3051,0
"V219","Brand H","coffee_capsules","2024-2025",11,3,0.3051,0
"V220","Brand D","ground_coffee","2023-2024",129,42,0.3212,0
"V220","Brand D","ground_coffee","2024-2025",135,44,0.3212,0
"V221","Brand B","coffee_capsules","2023-2024",136,45,0.4123,0
"V221","Brand B","coffee_capsules","2024-2025",116,41,0.4123,0
"V222","Brand D","black_tea","2023-2024",10,5,0.3345,0
"V222","Brand D","black_tea","2024-2025",6,1,0.3345,0
"V223","Brand A","coffee_capsules","2023-2024",179,56,0.3402,0
"V223","Brand A","coffee_capsules","2024-2025",186,58,0.3402,0
"V224","Brand H","instant_coffee","2023-2024",57,15,0.37,0
"V224","Brand H","instant_coffee","2024-2025",54,19,0.37,0
"V225","Brand F","ground_coffee","2023-2024",92,27,0.3362,0
"V225","Brand F","ground_coffee","2024-2025",98,33,0.3362,0
"V226","Brand G","herbal_tea","2023-2024",2,1,0.2192,0
"V226","Brand G","herbal_tea","2024-2025",2,0,0.2192,0
"V227","Brand E","instant_coffee","2023-2024",6,3,0.2568,0
"V227","Brand E","instant_coffee","2024-2025",7,0,0.2568,0
"V228","Brand H","coffee_capsules","2023-2024",10,6,0.3399,0
"V228","Brand H","coffee_capsules","2024-2025",12,6,0.3399,0
"V229","Brand G","coffee_capsules","2023-2024",28,9,0.3588,0
"V229","Brand G","coffee_capsules","2024-2025",32,6,0.3588,0
"V230","Brand C","coffee_capsules","2023-2024",27,7,0.2367,0
"V230","Brand C","coffee_capsules","2024-2025",21,9,0.2367,0
"V231","Brand H","ground_coffee","2023-2024",22,6,0.3193,0
"V231","Brand H","ground_coffee","2024-2025",22,7,0.3193,0
"V232","Brand F","coffee_capsules","2023-2024",65,19,0.3345,0
"V232","Brand F","coffee_capsules","2024-2025",65,13,0.3345,0
"V233","Brand A","ground_coffee","2023-2024",104,28,0.2292,0
"V233","Brand A","ground_coffee","2024-2025",101,21,0.2292,0
"V234","Brand B","whole_beans","2023-2024",298,111,0.4215,0
"V234","Brand B","whole_beans","2024-2025",309,135,0.4215,0
"V235","Brand C","herbal_tea","2023-2024",59,13,0.2435,0
"V235","Brand C","herbal_tea","2024-2025",61,12,0.2435,0
"V236","Brand D","instant_coffee","2023-2024",2,0,0.3015,0
"V236","Brand D","instant_coffee","2024-2025",5,0,0.3015,0
"V237","Brand F","iced_coffee","2023-2024",2,0,0.2093,0
"V237","Brand F","iced_coffee","2024-2025",3,0,0.2093,0
"V238","Brand E","coffee_capsules","2023-2024",193,92,0.4542,0
"V238","Brand E","coffee_capsules","2024-2025",203,93,0.4542,0
"V239","Brand C","coffee_capsules","2023-2024",9,2,0.1989,0
"V239","Brand C","coffee_capsules","2024-2025",17,2,0.1989,0
"V240","Brand G","herbal_tea","2023-2024",44,21,0.3463,0
"V240","Brand G","herbal_tea","2024-2025",35,10,0.3463,0
"V241","Brand G","iced_coffee","2023-2024",56,11,0.1919,0
"V241","Brand G","iced_coffee","2024-2025",46,8,0.1919,0
"V242","Brand F","whole_beans","2023-2024",80,31,0.3761,0
"V242","Brand F","whole_beans","2024-2025",66,30,0.3761,0
"V243","Brand A","iced_coffee","2023-2024",13,2,0.2923,0
"V243","Brand A","iced_coffee","2024-2025",23,5,0.2923,0
"V244","Brand B","coffee_pods","2023-2024",17,7,0.3234,0
"V244","Brand B","coffee_pods","2024-2025",11,5,0.3234,0
"V245","Brand E","black_tea","2023-2024",53,23,0.3566,0
"V245","Brand E","black_tea","2024-2025",55,21,0.3566,0
"V246","Brand A","whole_beans","2023-2024",12,5,0.355,0
"V246","Brand A","whole_beans","2024-2025",7,1,0.355,0
"V247","Brand E","coffee_pods","2023-2024",13,1,0.2849,0
"V247","Brand E","coffee_pods","2024-2025",23,8,0.2849,0
"V248","Brand B","ground_coffee","2023-2024",10,5,0.3296,0
"V248","Brand B","ground_coffee","2024-2025",15,5,0.3296,0
"V249","Brand G","coffee_capsules","2023-2024",4,2,0.3224,0
"V249","Brand G","coffee_capsules","2024-2025",6,2,0.3224,0
"V250","Brand F","coffee_capsules","2023-2024",30,9,0.2381,0
"V250","Brand F","coffee_capsules","2024-2025",32,7,0.2381,0
"V251","Brand H","instant_coffee","2023-2024",52,9,0.2965,0
"V251","Brand H","instant_coffee","2024-2025",51,20,0.2965,0
"V252","Brand G","ground_coffee","2023-2024",33,15,0.3978,0
"V252","Brand G","ground_coffee","2024-2025",36,10,0.3978,0
"V253","Brand F","ground_coffee","2023-2024",35,12,0.3054,0
"V253","Brand F","ground_coffee","2024-2025",57,14,0.3054,0
"V254","Brand H","instant_coffee","2023-2024",18,10,0.3513,0
"V254","Brand H","instant_coffee","2024-2025",22,6,0.3513,0
"V255","Brand C","ground_coffee","2023-2024",21,5,0.3591,0
"V255","Brand C","ground_coffee","2024-2025",15,5,0.3591,0
"V256","Brand C","coffee_capsules","2023-2024",2,1,0.2742,0
"V256","Brand C","coffee_capsules","2024-2025",2,1,0.2742,0
"V257","Brand D","instant_coffee","2023-2024",166,80,0.5066,0
"V257","Brand D","instant_coffee","2024-2025",139,67,0.5066,0
"V258","Brand D","herbal_tea","2023-2024",195,59,0.2825,0
"V258","Brand D","herbal_tea","2024-2025",231,54,0.2825,0
"V259","Brand E","coffee_pods","2023-2024",92,36,0.4002,0
"V259","Brand E","coffee_pods","2024-2025",80,34,0.4002,0
"V260","Brand B","black_tea","2023-2024",61,21,0.2684,0
"V260","Brand B","black_tea","2024-2025",59,15,0.2684,0
"V261","Brand A","whole_beans","2023-2024",22,3,0.3074,0
"V261","Brand A","whole_beans","2024-2025",30,9,0.3074,0
"V262","Brand F","black_tea","2023-2024",19,5,0.2498,0
"V262","Brand F","black_tea","2024-2025",19,3,0.2498,0
"V263","Brand D","iced_coffee","2023-2024",33,6,0.3058,0
"V263","Brand D","iced_coffee","2024-2025",32,3,0.3058,0
"V264","Brand A","coffee_capsules","2023-2024",9,4,0.3044,0
"V264","Brand A","coffee_capsules","2024-2025",9,1,0.3044,0
"V265","Brand D","instant_coffee","2023-2024",66,24,0.3613,0
"V265","Brand D","instant_coffee","2024-2025",78,31,0.3613,0
"V266","Brand F","coffee_capsules","2023-2024",50,16,0.288,0
"V266","Brand F","coffee_capsules","2024-2025",33,9,0.288,0
"V267","Brand G","ground_coffee","2023-2024",30,6,0.3295,0
"V267","Brand G","ground_coffee","2024-2025",31,8,0.3295,0
"V268","Brand D","black_tea","2023-2024",19,1,0.3049,0
"V268","Brand D","black_tea","2024-2025",21,7,0.3049,0
"V269","Brand E","instant_coffee","2023-2024",40,20,0.4252,0
"V269","Brand E","instant_coffee","2024-2025",27,13,0.4252,0
"V270","Brand A","instant_coffee","2023-2024",79,28,0.3415,0
"V270","Brand A","instant_coffee","2024-2025",86,28,0.3415,0
"V271","Brand D","whole_beans","2023-2024",205,70,0.3424,0
"V271","Brand D","whole_beans","2024-2025",229,97,0.3424,0
"V272","Brand H","whole_beans","2023-2024",2,0,0.2624,0
"V272","Brand H","whole_beans","2024-2025",6,2,0.2624,0
"V273","Brand H","coffee_capsules","2023-2024",6,3,0.3385,0
"V273","Brand H","coffee_capsules","2024-2025",13,3,0.3385,0
"V274","Brand F","coffee_capsules","2023-2024",313,152,0.4484,0
"V274","Brand F","coffee_capsules","2024-2025",311,149,0.4484,0
"V275","Brand D","instant_coffee","2023-2024",24,5,0.3016,0
"V275","Brand D","instant_coffee","2024-2025",24,4,0.3016,0
"V276","Brand E","black_tea","2023-2024",248,102,0.403,0
"V276","Brand E","black_tea","2024-2025",280,107,0.403,0
"V277","Brand E","coffee_pods","2023-2024",6,2,0.3555,0
"V277","Brand E","coffee_pods","2024-2025",5,1,0.3555,0
"V278","Brand B","instant_coffee","2023-2024",135,66,0.5199,1
"V278","Brand B","instant_coffee","2024-2025",156,77,0.5199,1
"V279","Brand B","black_tea","2023-2024",5,2,0.2881,0
"V279","Brand B","black_tea","2024-2025",6,0,0.2881,0
"V280","Brand G","coffee_capsules","2023-2024",4,2,0.3124,0
"V280","Brand G","coffee_capsules","2024-2025",7,1,0.3124,0
"V281","Brand C","black_tea","2023-2024",47,16,0.3101,0
"V281","Brand C","black_tea","2024-2025",34,9,0.3101,0
"V282","Brand F","coffee_pods","2023-2024",17,6,0.2612,0
"V282","Brand F","coffee_pods","2024-2025",20,8,0.2612,0
"V283","Brand H","black_tea","2023-2024",3,0,0.3403,0
"V283","Brand H","black_tea","2024-2025",6,1,0.3403,0
"V284","Brand H","black_tea","2023-2024",3,1,0.2021,0
"V284","Brand H","black_tea","2024-2025",4,0,0.2021,0
"V285","Brand F","coffee_pods","2023-2024",36,11,0.3034,0
"V285","Brand F","coffee_pods","2024-2025",29,13,0.3034,0
"V286","Brand G","whole_beans","2023-2024",6,0,0.3238,0
"V286","Brand G","whole_beans","2024-2025",8,0,0.3238,0
"V287","Brand C","coffee_capsules","2023-2024",109,48,0.4157,0
"V287","Brand C","coffee_capsules","2024-2025",103,45,0.4157,0
"V288","Brand A","coffee_capsules","2023-2024",178,90,0.4281,0
"V288","Brand A","coffee_capsules","2024-2025",178,67,0.4281,0
"V289","Brand G","herbal_tea","2023-2024",2,0,0.2145,0
"V289","Brand G","herbal_tea","2024-2025",6,0,0.2145,0
"V290","Brand D","coffee_pods","2023-2024",3,2,0.2263,0
"V290","Brand D","coffee_pods","2024-2025",2,1,0.2263,0
"V291","Brand H","coffee_capsules","2023-2024",2,0,0.3366,0
"V291","Brand H","coffee_capsules","2024-2025",3,1,0.3366,0
"V292","Brand D","herbal_tea","2023-2024",78,29,0.3591,0
"V292","Brand D","herbal_tea","2024-2025",80,26,0.3591,0
"V293","Brand E","black_tea","2023-2024",4,0,0.2247,0
"V293","Brand E","black_tea","2024-2025",4,1,0.2247,0
"V294","Brand A","herbal_tea","2023-2024",106,47,0.3921,0
"V294","Brand A","herbal_tea","2024-2025",116,51,0.3921,0
"V295","Brand H","coffee_pods","2023-2024",20,10,0.4615,0
"V295","Brand H","coffee_pods","2024-2025",20,14,0.4615,0
"V296","Brand H","black_tea","2023-2024",2,0,0.3317,0
"V296","Brand H","black_tea","2024-2025",2,2,0.3317,0
"V297","Brand H","black_tea","2023-2024",7,0,0.2112,0
"V297","Brand H","black_tea","2024-2025",7,2,0.2112,0
"V298","Brand E","whole_beans","2023-2024",26,4,0.2743,0
"V298","Brand E","whole_beans","2024-2025",29,7,0.2743,0
"V299","Brand F","coffee_capsules","2023-2024",491,351,0.6946,1
"V299","Brand F","coffee_capsules","2024-2025",492,332,0.6946,1
"V300","Brand E","ground_coffee","2023-2024",45,9,0.2514,0
"V300","Brand E","ground_coffee","2024-2025",39,5,0.2514,0
"V301","Brand E","whole_beans","2023-2024",2,1,0.3445,0
"V301","Brand E","whole_beans","2024-2025",3,0,0.3445,0
"V302","Brand C","whole_beans","2023-2024",12,1,0.277,0
"V302","Brand C","whole_beans","2024-2025",7,3,0.277,0
"V303","Brand D","black_tea","2023-2024",3,1,0.3092,0
"V303","Brand D","black_tea","2024-2025",3,2,0.3092,0
"V304","Brand C","ground_coffee","2023-2024",3,0,0.3113,0
"V304","Brand C","ground_coffee","2024-2025",2,0,0.3113,0
"V305","Brand G","coffee_pods","2023-2024",74,20,0.3567,0
"V305","Brand G","coffee_pods","2024-2025",82,41,0.3567,0
"V306","Brand B","coffee_capsules","2023-2024",12,5,0.3728,0
"V306","Brand B","coffee_capsules","2024-2025",17,7,0.3728,0
"V307","Brand B","instant_coffee","2023-2024",115,48,0.4242,0
"V307","Brand B","instant_coffee","2024-2025",134,59,0.4242,0
"V308","Brand B","ground_coffee","2023-2024",38,9,0.2415,0
"V308","Brand B","ground_coffee","2024-2025",34,6,0.2415,0
"V309","Brand G","instant_coffee","2023-2024",16,4,0.2475,0
"V309","Brand G","instant_coffee","2024-2025",32,9,0.2475,0
"V310","Brand A","coffee_pods","2023-2024",297,123,0.4073,0
"V310","Brand A","coffee_pods","2024-2025",304,129,0.4073,0
"V311","Brand H","herbal_tea","2023-2024",14,6,0.2743,0
"V311","Brand H","herbal_tea","2024-2025",12,1,0.2743,0
"V312","Brand B","instant_coffee","2023-2024",40,19,0.4091,0
"V312","Brand B","instant_coffee","2024-2025",35,19,0.4091,0
"V313","Brand E","coffee_capsules","2023-2024",4237,1726,0.4066,0
"V313","Brand E","coffee_capsules","2024-2025",4146,1750,0.4066,0
"V314","Brand H","coffee_pods","2023-2024",20,6,0.4138,0
"V314","Brand H","coffee_pods","2024-2025",15,5,0.4138,0
"V315","Brand B","ground_coffee","2023-2024",371,136,0.3841,0
"V315","Brand B","ground_coffee","2024-2025",345,123,0.3841,0
"V316","Brand H","coffee_pods","2023-2024",4,0,0.2531,0
"V316","Brand H","coffee_pods","2024-2025",4,0,0.2531,0
"V317","Brand A","whole_beans","2023-2024",31,12,0.3659,0
"V317","Brand A","whole_beans","2024-2025",38,10,0.3659,0
"V318","Brand E","whole_beans","2023-2024",9,2,0.3013,0
"V318","Brand E","whole_beans","2024-2025",17,7,0.3013,0
"V319","Brand F","black_tea","2023-2024",2,0,0.2966,0
"V319","Brand F","black_tea","2024-2025",2,0,0.2966,0
"V320","Brand F","black_tea","2023-2024",13,1,0.2045,0
"V320","Brand F","black_tea","2024-2025",7,1,0.2045,0
"V321","Brand A","herbal_tea","2023-2024",791,195,0.2434,0
"V321","Brand A","herbal_tea","2024-2025",801,177,0.2434,0
"V322","Brand H","whole_beans","2023-2024",25,8,0.2143,0
"V322","Brand H","whole_beans","2024-2025",14,3,0.2143,0
"V323","Brand F","coffee_capsules","2023-2024",9,5,0.2605,0
"V323","Brand F","coffee_capsules","2024-2025",8,0,0.2605,0
"V324","Brand C","herbal_tea","2023-2024",122,24,0.2461,0
"V324","Brand C","herbal_tea","2024-2025",117,25,0.2461,0
"V325","Brand F","coffee_capsules","2023-2024",6,2,0.3842,0
"V325","Brand F","coffee_capsules","2024-2025",6,0,0.3842,0
"V326","Brand E","instant_coffee","2023-2024",38,11,0.3732,0
"V326","Brand E","instant_coffee","2024-2025",28,13,0.3732,0
"V327","Brand A","coffee_pods","2023-2024",34,18,0.4105,0
"V327","Brand A","coffee_pods","2024-2025",36,21,0.4105,0
"V328","Brand G","black_tea","2023-2024",16,4,0.2626,0
"V328","Brand G","black_tea","2024-2025",26,9,0.2626,0
"V329","Brand G","ground_coffee","2023-2024",14,2,0.2655,0
"V329","Brand G","ground_coffee","2024-2025",25,8,0.2655,0
"V330","Brand C","instant_coffee","2023-2024",318,116,0.3752,0
"V330","Brand C","instant_coffee","2024-2025",323,122,0.3752,0
"V331","Brand F","ground_coffee","2023-2024",15,10,0.3772,0
"V331","Brand F","ground_coffee","2024-2025",18,7,0.3772,0
"V332","Brand B","instant_coffee","2023-2024",627,212,0.3446,0
"V332","Brand B","instant_coffee","2024-2025",703,250,0.3446,0
"V333","Brand F","instant_coffee","2023-2024",11,7,0.3163,0
"V333","Brand F","instant_coffee","2024-2025",33,7,0.3163,0
"V334","Brand G","coffee_pods","2023-2024",16,6,0.3065,0
"V334","Brand G","coffee_pods","2024-2025",29,8,0.3065,0
"V335","Brand G","ground_coffee","2023-2024",10,3,0.2627,0
"V335","Brand G","ground_coffee","2024-2025",9,4,0.2627,0
"V336","Brand D","coffee_pods","2023-2024",3,0,0.2352,0
"V336","Brand D","coffee_pods","2024-2025",2,0,0.2352,0
"V337","Brand B","coffee_capsules","2023-2024",3,1,0.2565,0
"V337","Brand B","coffee_capsules","2024-2025",6,2,0.2565,0
"V338","Brand A","whole_beans","2023-2024",24,9,0.3006,0
"V338","Brand A","whole_beans","2024-2025",28,9,0.3006,0
"V339","Brand A","ground_coffee","2023-2024",7,0,0.3004,0
"V339","Brand A","ground_coffee","2024-2025",8,5,0.3004,0
"V340","Brand B","black_tea","2023-2024",253,50,0.2439,0
"V340","Brand B","black_tea","2024-2025",234,62,0.2439,0
"V341","Brand H","ground_coffee","2023-2024",33,17,0.3787,0
"V341","Brand H","ground_coffee","2024-2025",41,14,0.3787,0
"V342","Brand H","whole_beans","2023-2024",12,4,0.3448,0
"V342","Brand H","whole_beans","2024-2025",12,2,0.3448,0
"V343","Brand C","coffee_capsules","2023-2024",121,61,0.4306,0
"V343","Brand C","coffee_capsules","2024-2025",121,55,0.4306,0
"V344","Brand H","coffee_capsules","2023-2024",10,3,0.2426,0
"V344","Brand H","coffee_capsules","2024-2025",6,1,0.2426,0
"V345","Brand E","coffee_pods","2023-2024",21,10,0.3384,0
"V345","Brand E","coffee_pods","2024-2025",33,10,0.3384,0
"V346","Brand C","coffee_capsules","2023-2024",62,13,0.2414,0
"V346","Brand C","coffee_capsules","2024-2025",77,14,0.2414,0
"V347","Brand C","ground_coffee","2023-2024",27,9,0.3439,0
"V347","Brand C","ground_coffee","2024-2025",27,7,0.3439,0
"V348","Brand A","ground_coffee","2023-2024",18,4,0.3638,0
"V348","Brand A","ground_coffee","2024-2025",19,7,0.3638,0
"V349","Brand H","whole_beans","2023-2024",12,3,0.3243,0
"V349","Brand H","whole_beans","2024-2025",22,5,0.3243,0
"V350","Brand F","ground_coffee","2023-2024",15,5,0.3252,0
"V350","Brand F","ground_coffee","2024-2025",15,6,0.3252,0
"V351","Brand E","whole_beans","2023-2024",220,82,0.3245,0
"V351","Brand E","whole_beans","2024-2025",226,77,0.3245,0
"V352","Brand E","iced_coffee","2023-2024",32,7,0.219,0
"V352","Brand E","iced_coffee","2024-2025",28,6,0.219,0
"V353","Brand A","coffee_capsules","2023-2024",6,2,0.3437,0
"V353","Brand A","coffee_capsules","2024-2025",5,1,0.3437,0
"V354","Brand D","coffee_capsules","2023-2024",7,2,0.2787,0
"V354","Brand D","coffee_capsules","2024-2025",15,5,0.2787,0
"V355","Brand H","black_tea","2023-2024",6,2,0.3136,0
"V355","Brand H","black_tea","2024-2025",4,3,0.3136,0
"V356","Brand F","herbal_tea","2023-2024",49,18,0.2841,0
"V356","Brand F","herbal_tea","2024-2025",47,14,0.2841,0
"V357","Brand C","herbal_tea","2023-2024",17,2,0.2288,0
"V357","Brand C","herbal_tea","2024-2025",9,5,0.2288,0
"V358","Brand B","coffee_capsules","2023-2024",37,8,0.2721,0
"V358","Brand B","coffee_capsules","2024-2025",33,6,0.2721,0
"V359","Brand B","whole_beans","2023-2024",38,8,0.2474,0
"V359","Brand B","whole_beans","2024-2025",37,7,0.2474,0
"V360","Brand F","instant_coffee","2023-2024",2,0,0.258,0
"V360","Brand F","instant_coffee","2024-2025",2,1,0.258,0
"V361","Brand C","coffee_capsules","2023-2024",8,1,0.2377,0
"V361","Brand C","coffee_capsules","2024-2025",8,2,0.2377,0
"V362","Brand E","ground_coffee","2023-2024",654,222,0.3495,0
"V362","Brand E","ground_coffee","2024-2025",633,227,0.3495,0
"V363","Brand F","herbal_tea","2023-2024",29,10,0.3454,0
"V363","Brand F","herbal_tea","2024-2025",30,9,0.3454,0
"V364","Brand E","coffee_capsules","2023-2024",24,8,0.267,0
"V364","Brand E","coffee_capsules","2024-2025",17,1,0.267,0
"V365","Brand G","black_tea","2023-2024",49,9,0.2902,0
"V365","Brand G","black_tea","2024-2025",55,20,0.2902,0
"V366","Brand D","coffee_capsules","2023-2024",49,14,0.295,0
"V366","Brand D","coffee_capsules","2024-2025",60,20,0.295,0
"V367","Brand C","coffee_pods","2023-2024",2,0,0.2509,0
"V367","Brand C","coffee_pods","2024-2025",4,0,0.2509,0
"V368","Brand D","herbal_tea","2023-2024",30,12,0.2894,0
"V368","Brand D","herbal_tea","2024-2025",32,7,0.2894,0
"V369","Brand H","black_tea","2023-2024",82,32,0.4429,0
"V369","Brand H","black_tea","2024-2025",77,30,0.4429,0
"V370","Brand E","herbal_tea","2023-2024",32,8,0.2281,0
"V370","Brand E","herbal_tea","2024-2025",36,8,0.2281,0
"V371","Brand F","instant_coffee","2023-2024",22,7,0.3346,0
"V371","Brand F","instant_coffee","2024-2025",17,8,0.3346,0
"V372","Brand G","whole_beans","2023-2024",12,2,0.329,0
"V372","Brand G","whole_beans","2024-2025",17,9,0.329,0
"V373","Brand B","herbal_tea","2023-2024",2,0,0.2115,0
"V373","Brand B","herbal_tea","2024-2025",3,0,0.2115,0
"V374","Brand G","whole_beans","2023-2024",10,4,0.342,0
"V374","Brand G","whole_beans","2024-2025",13,4,0.342,0
"V375","Brand H","instant_coffee","2023-2024",47,13,0.3325,0
"V375","Brand H","instant_coffee","2024-2025",45,19,0.3325,0
"V376","Brand G","coffee_capsules","2023-2024",7,4,0.377,0
"V376","Brand G","coffee_capsules","2024-2025",4,2,0.377,0
"V377","Brand C","black_tea","2023-2024",24,9,0.3545,0
"V377","Brand C","black_tea","2024-2025",21,6,0.3545,0
"V378","Brand D","coffee_capsules","2023-2024",27,9,0.3505,0
"V378","Brand D","coffee_capsules","2024-2025",24,8,0.3505,0
"V379","Brand E","coffee_capsules","2023-2024",102,24,0.2453,0
"V379","Brand E","coffee_capsules","2024-2025",102,33,0.2453,0
"V380","Brand D","coffee_capsules","2023-2024",4,2,0.3554,0
"V380","Brand D","coffee_capsules","2024-2025",2,0,0.3554,0
"V381","Brand B","instant_coffee","2023-2024",39,15,0.366,0
"V381","Brand B","instant_coffee","2024-2025",28,12,0.366,0
"V382","Brand C","herbal_tea","2023-2024",118,32,0.3086,0
"V382","Brand C","herbal_tea","2024-2025",120,47,0.3086,0
"V383","Brand E","ground_coffee","2023-2024",38,15,0.3372,0
"V383","Brand E","ground_coffee","2024-2025",45,18,0.3372,0
"V384","Brand D","whole_beans","2023-2024",2,1,0.1848,0
"V384","Brand D","whole_beans","2024-2025",2,1,0.1848,0
"V385","Brand C","iced_coffee","2023-2024",24,7,0.2357,0
"V385","Brand C","iced_coffee","2024-2025",23,4,0.2357,0
"V386","Brand D","instant_coffee","2023-2024",185,47,0.2964,0
"V386","Brand D","instant_coffee","2024-2025",144,35,0.2964,0
"V387","Brand E","black_tea","2023-2024",9,3,0.1757,0
"V387","Brand E","black_tea","2024-2025",7,0,0.1757,0
"V388","Brand B","coffee_capsules","2023-2024",33,3,0.3107,0
"V388","Brand B","coffee_capsules","2024-2025",32,15,0.3107,0
"V389","Brand A","coffee_capsules","2023-2024",8,2,0.3703,0
"V389","Brand A","coffee_capsules","2024-2025",7,5,0.3703,0
"V390","Brand B","whole_beans","2023-2024",108,37,0.3105,0
"V390","Brand B","whole_beans","2024-2025",130,44,0.3105,0
"V391","Brand F","herbal_tea","2023-2024",130,44,0.328,0
"V391","Brand F","herbal_tea","2024-2025",136,35,0.328,0
"V392","Brand C","coffee_pods","2023-2024",39,13,0.3434,0
"V392","Brand C","coffee_pods","2024-2025",32,11,0.3434,0
"V393","Brand D","ground_coffee","2023-2024",60,23,0.4093,0
"V393","Brand D","ground_coffee","2024-2025",61,33,0.4093,0
"V394","Brand H","coffee_capsules","2023-2024",16,8,0.3244,0
"V394","Brand H","coffee_capsules","2024-2025",20,7,0.3244,0
"V395","Brand E","coffee_capsules","2023-2024",659,267,0.395,0
"V395","Brand E","coffee_capsules","2024-2025",657,254,0.395,0
"V396","Brand C","instant_coffee","2023-2024",128,37,0.3124,0
"V396","Brand C","instant_coffee","2024-2025",98,31,0.3124,0
"V397","Brand D","coffee_capsules","2023-2024",3,1,0.2027,0
"V397","Brand D","coffee_capsules","2024-2025",2,0,0.2027,0
"V398","Brand A","coffee_pods","2023-2024",2,0,0.1922,0
"V398","Brand A","coffee_pods","2024-2025",2,0,0.1922,0
"V399","Brand H","whole_beans","2023-2024",21,5,0.2481,0
"V399","Brand H","whole_beans","2024-2025",25,6,0.2481,0
"V400","Brand D","coffee_capsules","2023-2024",12,3,0.2453,0
"V400","Brand D","coffee_capsules","2024-2025",13,6,0.2453,0
"V401","Brand F","ground_coffee","2023-2024",36,17,0.4184,0
"V401","Brand F","ground_coffee","2024-2025",35,13,0.4184,0
"V402","Brand E","ground_coffee","2023-2024",13,5,0.2347,0
"V402","Brand E","ground_coffee","2024-2025",9,3,0.2347,0
"V403","Brand E","instant_coffee","2023-2024",11,4,0.3593,0
"V403","Brand E","instant_coffee","2024-2025",10,5,0.3593,0
"V404","Brand D","coffee_capsules","2023-2024",115,45,0.3909,0
"V404","Brand D","coffee_capsules","2024-2025",107,42,0.3909,0
"V405","Brand E","ground_coffee","2023-2024",92,23,0.2794,0
"V405","Brand E","ground_coffee","2024-2025",100,27,0.2794,0
"V406","Brand G","coffee_capsules","2023-2024",63,25,0.3371,0
"V406","Brand G","coffee_capsules","2024-2025",71,31,0.3371,0
"V407","Brand D","coffee_capsules","2023-2024",27,9,0.3325,0
"V407","Brand D","coffee_capsules","2024-2025",21,9,0.3325,0
"V408","Brand G","whole_beans","2023-2024",89,37,0.3884,0
"V408","Brand G","whole_beans","2024-2025",85,35,0.3884,0
"V409","Brand G","ground_coffee","2023-2024",2,1,0.1994,0
"V409","Brand G","ground_coffee","2024-2025",2,0,0.1994,0
"V410","Brand F","instant_coffee","2023-2024",3,0,0.2333,0
"V410","Brand F","instant_coffee","2024-2025",2,1,0.2333,0
"V411","Brand F","iced_coffee","2023-2024",148,35,0.2743,0
"V411","Brand F","iced_coffee","2024-2025",142,34,0.2743,0
"V412","Brand E","whole_beans","2023-2024",8,1,0.3153,0
"V412","Brand E","whole_beans","2024-2025",15,2,0.3153,0
"V413","Brand A","ground_coffee","2023-2024",44,20,0.3987,0
"V413","Brand A","ground_coffee","2024-2025",35,12,0.3987,0
"V414","Brand F","instant_coffee","2023-2024",385,159,0.4568,0
"V414","Brand F","instant_coffee","2024-2025",406,175,0.4568,0
"V415","Brand F","ground_coffee","2023-2024",15,3,0.2692,0
"V415","Brand F","ground_coffee","2024-2025",14,3,0.2692,0
"V416","Brand C","coffee_capsules","2023-2024",4,3,0.2963,0
"V416","Brand C","coffee_capsules","2024-2025",6,1,0.2963,0
"V417","Brand H","whole_beans","2023-2024",2,1,0.3376,0
"V417","Brand H","whole_beans","2024-2025",2,0,0.3376,0
"V418","Brand E","ground_coffee","2023-2024",20,6,0.3191,0
"V418","Brand E","ground_coffee","2024-2025",21,9,0.3191,0
"V419","Brand B","iced_coffee","2023-2024",16,3,0.222,0
"V419","Brand B","iced_coffee","2024-2025",24,5,0.222,0
"V420","Brand A","ground_coffee","2023-2024",96,34,0.3916,0
"V420","Brand A","ground_coffee","2024-2025",112,45,0.3916,0
"V421","Brand G","coffee_capsules","2023-2024",16,7,0.2701,0
"V421","Brand G","coffee_capsules","2024-2025",14,2,0.2701,0
"V422","Brand F","coffee_capsules","2023-2024",18,2,0.2682,0
"V422","Brand F","coffee_capsules","2024-2025",20,3,0.2682,0
"V423","Brand C","coffee_pods","2023-2024",17,8,0.3222,0
"V423","Brand C","coffee_pods","2024-2025",18,6,0.3222,0
